大越史記本紀續編卷之十六	Đại Việt Sử Ký Bản Kỷ Tục Biên quyển chi thập lục.
本紀云初范子儀常欲立弘王正中爲莫嗣而莫諸宗王大臣謀立福原正中不得立乃與子儀作乱入寇于明明人多被其害至此明青于莫曰藩臣無禮容縱刼人侵掠大國可興兵致討以免邊釁時明欲起兵來莫氏大恐密使小卒拎獲之斬首使人送于明至其地常爲瘟災人畜病瘴因此明人還之太師諒國公鄭檢使莫降将黎伯驪與武文密等進迫京師	[Bản kỷ vân: Sơ Phạm Tử Nghi thường dục lập Hoằng Vương Chính Trung vi Mạc tự, nhi Mạc chư tông vương đại thần mưu lập Phúc Nguyên. Chính Trung bất đắc lập nãi dữ Tử Nghi tác loạn nhập khấu vu Minh. Minh nhân đa bị kì hại Chí thử Minh Thanh vu mạc viết Phiên thần vô lễ dung túng kiếp nhân xâm lược đại quốc khả hưng binh trí thảo dĩ miễn biên hấn. Thời Minh dục khởi binh lai Mạc thị đại khủng mật sử tiểu tốt linh hoạch chi trảm thủ sử nhân tống vu Minh Chí kì địa thường vi ôn tai nhân súc bệnh chướng, nhân thử Minh nhân hoàn chi.] Thái sư Lượng quốc công Trịnh Kiểm sử Mạc hàng tướng Lê Bá Li dữ Võ Văn Mật đẳng tiến bách kinh sư.
莫福原奔金城留莫敬典爲都總師将兵拒守	Mạc Phúc Nguyên bôn Kim Thành, lưu Mạc Kính Điển vi Đô tổng sư tướng binh cự thủ.
壬子四年莫景曆五年明嘉靖三十一年太師鄭檢領兵畧定西南	Nhâm Tí tứ niên, [Mạc Cảnh Lịch ngũ niên Minh Gia Tĩnh tam thập nhất niên,] Thái sư Trịnh Kiểm lĩnh binh lược định Tây Nam.
莫西道将太尉端郡公阮凱康率兵歸順至安場	Mạc Tây Đạo tướng Thái uý Đoan quận công Nguyễn Khải Khang suất binh quy thuận, chí Yên Trường..
帝慰勞賞賜仍其職爵	Đế uý lạo thưởng tứ những kì chức tước.
癸丑五年莫景曆六年明嘉靖三十二年帝移立行在于安場〇	Quý Sửu ngũ niên, [Mạc Cảnh Lịch lục niên Minh Gia Tĩnh tam thập nhị niên,] Đế di lập hành tại vu Yên Trường .
莫開會試科	Mạc khai Hội thí khoa.
賜阮亮采黄珣陳永綏等進士及第阮義立等五人進士出身阮公族等十二人同進士出身	Tứ Nguyễn Lượng Thái, Hoàng Tuân, Trần Vĩnh Tuy đẳng tiến sĩ cập đệ Nguyễn Nghĩa Lập đẳng ngũ nhân tiến sĩ xuất thân, Nguyễn Công Tộc đẳng thập nhị nhân đồng tiến sĩ xuất thân.
甲寅六年莫改景曆爲光寶元年明嘉靖三十三年太師諒國公鄭檢移行營于汴上軍氣增銳四方賢士多來歸附〇	Giáp Dần lục niên, [Mạc cải Cảnh Lịch vi Quang Bảo nguyên niên, Minh Gia Tĩnh tam thập tam niên,] Thái sư Lượng quốc công Trịnh Kiểm di hành doanh vu Biện Thượng, quân khí tăng nhuệ, tứ phương hiền sĩ đa lai quy phụ .
設制科取士賜丁拨箤等五人第一甲制科出身朱光著等八人第二甲同制科出身	Thiết chế khoa thủ sĩ, tứ Đinh Bạt Tuy đẳng ngũ nhân đệ nhất giáp chế khoa xuất thân, Chu Quang Trứ đẳng bát nhân đệ nhị giáp đồng chế khoa xuất thân.
十月初一日以金吾衛掌衛事廣郡公范篤爲太保	Thập nguyệt, sơ nhất nhật, dĩ Kim ngô vệ chưởng vệ sự Quảng quận công Phạm Đốc vi Thái bảo.
乙卯七年莫光寶二年明嘉靖三十四年八月莫使謙王莫敬典将兵入寇清華以壽郡公缺名節制南道兵領舟百餘隻爲先鋒進至神符海口駐營	Ất Mão thất niên, [Mạc Quang Bảo nhị niên Minh Gia Tĩnh tam thập tứ niên,] bát nguyệt, Mạc sử Khiêm Vương Mạc Kính Điển tướng binh nhập khấu Thanh Hoa, dĩ Thọ Quận công [khuyết danh,] tiết chế Nam Đạo binh lĩnh chu bách dư chích vi tiên phong tiến chí Thần Phù hải khẩu trú doanh.
次日敬典率軍會于大頼江使壽郡公督率本部兵前進駐營金山	Thứ nhật, Kính Điển suất quân hội vu Đại Lại giang, sử Thọ quận công đốc suất bản bộ binh tiền tiến trú doanh Kim Sơn.
太師諒國公鄭檢大會諸将謀曰賊特眾輕我我以伏計待之可成擒矣	Thái sư Lượng quốc công Trịnh Kiểm đại hội chư tướng mưu viết: Tặc đặc chúng khinh ngã, ngã dĩ phục kế đãi chi khả thành cầm hĩ.
乃使人先戒沿江两岸民人不得驚動各相接堵如故	Nãi sử nhân tiên giới duyên giang lưỡng ngạn dân nhân bất đắc kinh động, các tương tiếp đổ như cố.
又使	Hựu sử..
中官太尉䧺國公丁公督諸行将黎伯驪阮凱康阮倩黎克慎等及本部兵象先伏于江之南上自安定山下至軍安山	trung quan thái uý Hùng quốc công Đinh Công đốc chư hàng tướng Lê Bá Li, Nguyễn Khải Khang, Nguyễn Thiến, Lê Khắc Thận, đẳng cập bản bộ binh tượng tiên phục vu giang chi Nam, thượng tự Yên Định sơn hạ chí Quân Yên sơn.
太師鄭檢親督大兵伏于江北上自白石山下至金山復選象五十隻伏于金山之下	Thái sư Trịnh Kiểm thân đốc đại binh phục vu giang Bắc, thượng tự Bạch Thạch sơn hạ chí Kim Sơn phục, tuyển tượng ngũ thập chích phục vu Kim Sơn chi hạ.
又使廣郡公范篤領水軍及督諸降将阮倦等戰船十餘隻㨿上流自有執江至金盃江徃來爲掎角之勢	Hựu sử Quảng quận công Phạm Đốc lĩnh thuỷ quân cập đốc chư hàng tướng Nguyễn Quyện đẳng chiến thuyền thập dư chích cứ thượng lưu, tự Hữu Chấp giang chí Kim Bôi giang vãng lai vi ỷ giốc chi thế.
次日巳時賊兵船過金山至翁龔市戰船中聞笙管𰙔弦之聲如入無人之地	Thứ nhật, Tị thời, tặc binh thuyền quá Kim Sơn chí Ông Cung thị chiến thuyền trung văn sênh quản ca huyền chi thanh như nhập vô nhân chi địa.
日向午聽軍安山炮聲一起沿江	Nhật hướng Ngọ thính Quân Yên sơn, pháo thanh nhất khởi duyên giang..
两岸各起連炮七響	lưỡng ngạn các khởi liên pháo thất hưởng.
太師鄭檢縱兵大擊下流象已渡河	Thái sư Trịnh Kiểm tung binh đại kích, hạ lưu tượng dĩ độ hà.
范篤阮倦等船兵亦順流而下两岸兵象奮力爭先	Phạm Đốc, Nguyễn Quyện đẳng thuyền binh diệc thuận lưu nhi hạ lưỡng ngạn binh tượng phấn lực tranh tiên.
賊兵遂倒戈抛甲棄船下水各自迯生	Tặc binh toại đảo qua phao giáp khí thuyền hạ thuỷ các tự đào sinh.
壽郡公自料不䏻脱自投于水	Thọ quận công tự liệu bất năng thoát, tự đầu vu thuỷ.
潮郡公武師鑠獲之俘虜莫兵甚眾	Triều quận công Vũ Sư Thước hoạch chi phù lỗ Mạc binh thậm chúng.
繋壽郡公于象皆献之營門及生擒賊将大小數十員	Hệ Thọ quận công vu tượng giai hiến chi doanh môn cập sinh cầm tặc tướng đại tiểu số thập viên.
賊兵死者塞河河水皆赤	Tặc binh tử giả tái hà, hà thuỷ giai xích.
收獲噐械不可勝數賊兵數萬餘眾死亡畧盡	Thu hoạch khí giới bất khả thắng số, tặc binh số vạn dư chúng tử vong lược tận.
敬典驚惧破膽自收殘卒回京邑	Kính Điển kinh cụ phá đảm, tự thu tàn tốt hồi kinh ấp.
太師進捷表以聞悉令斬賊将壽郡公等數十	Thái sư tiến tiệp biểu dĩ văn tất, lệnh trảm tặc tướng Thọ quận công đẳng số thập..
人于同禄山	nhân vu Đồng Lộc Sơn.
丙辰八年莫光寶三年明嘉靖三十五年春正月二十四日帝崩無嗣	Bính Thìn bát niên, [Mạc Quang Bảo tam niên Minh Gia Tĩnh tam thập ngũ niên,] xuân chính nguyệt, nhị thập tứ nhật, Đế băng, vô tự.
太師諒國公鄭檢及諸大臣等𬢱曰國不可一日無君	Thái sư Lượng quốc công Trịnh Kiểm cập chư đại thần đẳng nghị viết: Quốc bất khả nhất nhật vô quân.
乃詔使人訪求黎氏子孫立之尋得藍國公黎除之玄孫黎維邦於東山布衛鄕迎立之	Nãi chiếu sử nhân phỏng cầu Lê thị tử tôn lập chi tầm đắc Lam quốc công Lê Trừ chi huyền tôn Lê Duy Bang ư Đông Sơn, Bố Vệ hương, nghênh lập chi.
大赦	Đại xá.
以明年爲天祐元年	Dĩ minh niên vi Thiên Hựu nguyên niên.
上大行皇帝尊號曰武皇帝廟號中宗〇	Thượng Đại Hành Hoàng Đế, tôn hiệu viết Vũ Hoàng Đế, miếu hiệu Trung Tông .
以太保廣郡公范篤爲兵部尙書掌部事	Dĩ Thái bảo Quảng quận công Phạm Đốc vi Binh bộ thượng thư chưởng bộ sự.
莫開會試科	Mạc khai Hội thí khoa.
賜范鎮杜汪阮堯佐等進士及第	Tứ Phạm Trấn, Đỗ Uông, Nguyễn Nghiêu Tá đẳng tiến sĩ cập đệ..
范曰荗等四人進士出身阮仁安等七人同進士出身	Phạm Viết Mậu đẳng tứ nhân tiến sĩ xuất thân, Nguyễn Nhân An đẳng thất nhân đồng tiến sĩ xuất thân.
英宗峻皇帝諱維邦在位十六年壽四十二歲附莫福原五年荗洽十一年帝以帝室之胄頼勳臣尊立圖復中興真天命有歸矣然事功未半疑惑漸生偏信讒言播遷于外悲矣初太祖第二兄除贈藍國公今尊封弘裕王除生康贈葵國公今尊封顯功王康生壽今尊封光業王壽生維紹今尊封莊簡王維紹生維絖今尊封孝宗仁皇帝維絖取東山縣布衛鄕生帝	Anh Tông Tuấn Hoàng Đế [Huý Duy Bang. Tại vị thập lục niên, thọ tứ thập nhị tuế,] Phụ Mạc [Phúc Nguyên ngũ niên Mậu Hiệp thập nhất niên, Đế dĩ Đế thất chi trụ lại huân thần tôn lập đồ phục trung hưng chân thiên mệnh hữu quy hĩ Nhiên sự công vị bán nghi hoặc tiệm sinh thiên tín sàm ngôn, bá thiên vu ngoại. Bi hĩ!] Sơ, Thái Tổ đệ nhị huynh Trừ [tặng Lam quốc công, kim tôn phong Hoằng Dụ Vương,] Trừ sinh Khang, [tặng Quỳ quốc công,] kim tôn phong Hiển Công Vương,] Khang sinh Thọ, [kim tôn phong Quang Nghiệp Vương,] Thọ sinh Duy Thiệu, [kim tôn phong Trang Giản Vương,] Duy Thiệu sinh Duy Khoáng, [kim tôn phong Hiếu Tông Nhân Hoàng Đế,] Duy Khoáng thú Đông Sơn huyện Bố Vệ hương sinh Đế.
時中宗崩無嗣太師諒國公鄭檢及大臣立之	Thời Trung Tông băng vô tự, Thái sư Lượng quốc công Trịnh Kiểm cập đại thần lập chi.
丁巳天祐元年莫光寶四年明嘉靖三十六年莫以謙王敬典兼宗人府宗人令	Đinh Tị Thiên Hựu nguyên niên, [Mạc Quang Bảo tứ niên Minh Gia Tĩnh tam thập lục niên,] Mạc dĩ Khiêm Vương Kính Điển kiêm Tông nhân phủ Tông nhân lệnh.
七月莫使敬典率兵侵清華	Thất nguyệt, Mạc sử Kính Điển suất binh xâm Thanh Hoa.
至神符江宋山峩山地方燒破浮橋	Chí Thần Phù giang, Tống , Nga Sơn địa phương, thiêu phá phù kiều.
太師諒國公鄭檢使清郡公守峩山瑞郡公何壽祥守宋山各率精兵拒之	Thái sư Lượng quốc công Trịnh Kiểm sử Thanh quận công thủ Nga Sơn, Thuỵ quận công Hà Thọ Tường thủ Tống Sơn, các suất tinh binh cự chi.
莫兵不䏻進	Mạc binh bất năng tiến.
太師親督兵象潜進安謨山脚直至海口遇賊縱兵擊之再襲攻其後砲聲連響上下夾攻	Thái sư thân đốc binh tượng tiềm tiến Yên Mô sơn cước, trực chí hải khẩu ngộ tặc tung binh kích chi tái tập công kì hậu, pháo thanh liên hưởng thượng hạ hiệp công.
太師使弘化人武陵侯突船衝擊遇莫敬典船奮身跳過揮劎斬把𢂎人分爲两段墜	Thái sư sử Hoằng Hoá nhân Vũ Lăng hầu đột thuyền xung kích ngộ Mạc Kính Điển thuyền, phấn thân khiêu quá huy kiếm trảm bả dù nhân phân vi lưỡng đoạn truỵ..
于江中	vu giang trung.
敬典措手不及投身下水迯生莫兵大敗棄船奔潰走入山林	Kính Điển thố thủ bất cập đầu thân hạ thuỷ đào sinh MẠc binh đại bại khí thuyền bôn hội tẩu nhập sơn lâm.
敬典僅以身免入山谷中隐居三日饑甚夜見蕉樹留過谷口自抱其樹浮尋歸路	Kính Điển cẩn dĩ thân miễn nhập sơn cốc trung ẩn cư tam nhật, cơ thậm, dạ kiến tiêu thụ lưu quá cốc khẩu, tự bão kì thụ phù tầm quy lộ.
數日到安謨江遇茶須社漁人濟之乃得脱	Số nhật, đáo Yên Mô giang, ngộ Trà Tu xã ngư nhân tế chi nãi đắc thoát.
及歸保其人爲扶義侯	Cập quy bảo kì nhân vi Phù Nghĩa hầu.
閏七月以太保廣郡公范篤爲太傅	Nhuận thất nguyệt, dĩ Thái bảo Quảng quận công Phạm Đốc vi Thái phó.
八月太師使范篤徃救乂安	Bát nguyệt, Thái sư sử Phạm Đốc vãng cứu Nghệ An.
時莫聞太師乘勝乃遁還京	Thời, Mạc văn Thái sư thừa thắng nãi độn hoàn kinh.
是歲莫降将黎伯驪阮倩卒	Thị tuế, Mạc hàng tướng Lê Bá Li, Nguyễn Thiến tốt.
倩子阮倦阮俛等	Thiến tử Nguyễn Quyện, Nguyễn Phủ đẳng..
反迯歸莫莫賜倦文派侯俛扶興侯以宗室女嫁之	phản đào quy Mạc Mạc tứ Quyện Văn Phái hầu, Phủ Phù Hưng hầu, dĩ tông thất nữ giá chi.
九月太師鄭檢大率水步諸軍五萬擊山南中路至鳳趐江用浮橋渡江大破莫兵俘獲其将󰆑國公於船上	Cửu nguyệt, Thái sư Trịnh Kiểm đại suất thuỷ bộ chư quân ngũ vạn kích Sơn Nam trung lộ, chí Phụng Sí giang dụng phù kiều độ giang đại phá Mạc binh, phù hoạch kì tướng Khánh quốc công ư thuyền thượng.
餘卒潰散	Dư tốt hội tán.
太師鄭檢置󰆑國于象上使從軍献計	Thái sư Trịnh Kiểm trí Khánh quốc vu tượng thượng, sử tòng quân hiến kế.
後󰆑國謀反事泄乃殺之	Hậu, Khánh quốc mưu phản, sự tiết nãi sát chi.
官軍畧定山南下伴膠水縣	Quan quân lược định Sơn Nam hạ bạn Giao Thuỷ huyện.
太師鄭檢自督步兵使范篤等督水軍以武陵侯爲前水隊	Thái sư Trịnh Kiểm tự đốc bộ binh sử Phạm Đốc đẳng đốc thuỷ quân dĩ Vũ Lăng hầu vi tiền thuỷ đội,.
縱兵大戰莫使阮倦拒之于膠水江	tung binh đại chiến Mạc sử Nguyễn Quyện cự chi vu Giao Thuỷ giang.
倦與武陵侯大戰	Quyện dữ Vũ Lăng hầu đại chiến.
武陵先	Vũ Lăng tiên..
挺身躍過倦船頭	đĩnh thân dược quá Quyện thuyền đầu.
倦提劎斬之武陵没入水中去	Quyện đề kiếm trảm chi, Vũ Lăng một nhập thuỷ trung khứ.
倦乃自急躍過武陵侯船斬獲其把𢂎人頭大呼武陵頭在此汝等如何敵得我諸軍聞之不及回顧遂頭于水大眾隨潰棄船上岸	Quyện nãi tự cấp dược quá Vũ Lăng hầu thuyền, trảm hoạch kì bá dụ nhân đầu, đại hô: Vũ Lăng đầu tại thử, nhữ đẳng như hà địch đắc ngã! Chư quân văn chi bất cập hồi cố, toại đầu vu thuỷ, đại chúng tuỳ hội khí thuyền thượng ngạn.
莫兵乘勝各縣人民俱應之	Mạc binh thừa thắng các huyện nhân dân cụ ứng chi.
太師急議回兵	Thái sư cấp nghị hồi binh.
莫使将将兵截其歸路軍士多受其害戰将死者數十員船艘噐械盡棄	Mạc sử tướng tương binh tiệt kì quy lộ quân sĩ đa thụ kì hại chiến tướng tử giả số thập viên, thuyền sưu khí giới tận khí.
士卒脱者相半	Sĩ tốt thoát giả tương bán.
十月太師回兵清華令諸将撫養士卒修練噐械令選補丁壮編入隊伍以成兵數更圖後󰁮	Thập nguyệt, Thái sư hồi binh Thanh Hoa, lệnh chư tướng phủ dưỡng sĩ tốt, tu luyện khí giới, lệnh tuyển bổ đinh tráng, biên nhập đội ngũ dĩ thành binh số, cánh đồ hậu cử..
大滛雨連月不止	Đại dâm vũ liên nguyệt bất chỉ.
清華乂安田禾多浸水歲榖不登	Thanh Hoa, Nghệ An điền hoà đa tẩm thuỷ, tuế cốc bất đăng.
於是詔改明年爲正治元年	Ư thị, chiếu cải minh niên vi Chính Trị nguyên niên.
戊午正治元年莫光寶五年明嘉靖三十七年太師親督大軍再出山南中路攻其不意擒獲莫将英銳侯俘送安塲行在	Mậu Ngọ Chính Trị nguyên niên, [Mạc Quang Bảo ngũ niên Minh Gia Tĩnh tam thập thất niên,] Thái sư thân đốc đại quân tái xuất Sơn Nam trung lộ công kì bất ý, cầm hoạch Mạc tướng Anh Nhuệ hầu phù tống Yên Trường hành tại.
命斬之	Mệnh trảm chi.
是歲立鄕試塲于安定縣多禄社	Thị tuế lập Hương thí trường vu Yên Định huyện Đa Lộc xã.
八月十四日戊午太傅廣郡公范篤卒年四十六	Bát nguyệt, thập tứ nhật, Mậu Ngọ Thái phó Quảng quận công Phạm Đốc tốt, niên tứ thập lục.
賜特進開府太尉靖國公謚忠毅	Tứ đặc tiến khai phủ thái uý Tĩnh quốc công, thuỵ Trung Nghị.
九月太師鄭檢親督大兵再出山南上路畧地而	Cửu nguyệt, Thái sư Trịnh Kiểm thân đốc đại binh tái xuất Sơn Nam thượng lộ lược địa nhi..
還留降将阮凱康鎮守以招集人民	hoàn, lưu hàng tướng Nguyễn Khải Khang trấn thủ dĩ chiêu tập nhân dân.
後莫氏用計使土人詐降誘之凱康復叛歸莫	Hậu Mạc thị dụng kế sử thổ nhân trá hàng dụ chi Khải Khang phục phản quy Mạc.
