大越史記本紀實録卷之十一	Đại Việt sử ký bản kỷ thực lục quyển chi thập nhất.
明日察言於朝曰使咱言官安得此雨耶	Minh nhật Sát ngôn ư triều viết: "Sử thính ngôn quan, an đắc thử vũ da?".
黎銀曰多殺惡人則多雨但路	Lê Ngân viết: Đa sát ác nhân tắc đa vũ, đán lộ..
骨难行耳	cốt nạn hành nhĩ.
二十八日宣光鎮𫎇恩州阮啟使其子來行	Nhị thập bát nhật Tuyên Quang trấn Mông Ân châu Nguyễn Khải sử kì tử lai hàng.
命大臣諭而遣之	Mệnh đại thần dụ nhi khiển chi.
六月占城管象頭目婁荄二人來降	Lục nguyệt Chiêm Thành quản tượng đầu mục Lâu, Cai nhị nhân lai hàng.
八日哀牢盆忙使人来貢方物賜織金衣二件絹五四	Bát nhật Ai Lao Bồn Mường sử nhân lai cống phương vật Tứ chức kim y nhị kiện quyến ngũ tứ.
十口有𩅗氣則空而下	Thập khẩu hữu vụ khí tắc không nhi hạ.
十二日陶祿來降	Thập nhị nhật, Đào Lộc lai hàng.
祿陶季容之子	Lộc Đào Quý Dung chi tử.
初太祖之平賊也㱕化鎮父道僞府同知季容不服將家属亡入雲南	Sơ Thái Tổ chi bình tặc dã, Quy Hoá trấn phụ đạo nguỵ phủ Đồng tri Quý Dung bất phục, tương gia thuộc vong nhập Vân Nam.
至是死其子來降	Chí thị tử, Kì tử lai hàng.
海水暴涨	Hải thuỷ bạo trướng.
十四日雨百官𢪒謝	Thập tứ nhật, vũ, bách quan bái tạ.
十七日以審刑院廷歷爲太原下伴安府使仍帶審刑副使	Thập thất nhật, dĩ Thẩm hình viện Đình Lịch vi Thái Nguyên hạ bạn An phủ sứ, nhưng đái Thẩm hình phó sứ..
如故	như cố.
二十日北道同知簿籍裴於󰱑以天多灾異上䟽四條	Nhị thập nhật, Bắc đạo đồng tri bạ tịch Bùi Ư Đài dĩ thiên đa tai dị, thượng sớ tứ điều.
其一畧曰願陛下内選皇兄國舅老耄耆人諸習故典留爲入侍訓誨厥辝外置師傳立為砥柱旨揮百僚	Kì nhất lược viết: Nguyện bệ hạ nội tuyển hoàng huynh quốc cữu, lão mạo kì nhân chư tập cố điển, lưu vi nhập thị huấn hối quyết từ, ngoại trí sư truyền lập vi chỉ trụ, chỉ huy bách liêu.
其二略云文武官員軍民已被其罪在各徒流配所先帝所以懲之	Kì nhị lược vân: Văn võ quan viên, quân dân dĩ bị kì tội tại các đồ lưu phối sở tiên đế sở dĩ trừng chi.
今再見還官除職管軍治民有違先帝之心不協天地之道	Kim tái kiến hoàn quan, trừ chức quản quân trị dân, hữu vi tiên đế chi tâm, bất hiệp thiên địa chi đạo.
大司徒察見疏怒甚使人寫此二條上奏曰先帝以神等皆累世舊臣且與先帝間開十年出萬死以立朝廷	Đại tư đồ Sát hiện sớ nộ thậm, sử nhân tả thử nhị điều, thượng tấu viết: "Tiên đế dĩ thần đẳng giai luỵ thế cựu thần, thả dữ tiên đế gian khai thập niên xuất vạn tử dĩ lập triều đình.
先帝素知臣樸	Tiên đế tố tri thần phác..
鈍故臨崩之際以陛下託臣等也	độn, cố lâm băng chi tế, dĩ bệ hạ thác thần đẳng dã.
今於󰱑所言意疑臣等有所奸横而使陛下别立親以防之願付之獄官問其虚實	Kim Ư Đài sở ngôn, ý nghi thần đẳng hữu sở gian hoành nhi sử bệ hạ biệt lập thân dĩ phòng chi, nguyện phó chi ngục quan vấn kì hư thực.
若於󰱑果離間君臣則正以國法不赦	Nhược Ư Đài quả li gián quân thần tắc chính dĩ quốc pháp, bất xá".
帝良久曰於󰱑所言雖有切害何至若是	Đế lương cửu viết: "Ư Đài sở ngôn tuy hữu thiết hại, hà chí nhược thị".
察奏徃復數四帝皆不咱	Sát tấu vãng phục sổ tứ, đế giai bất thính.
天祐擒虎復奏曰於󰱑勸陛河不可委任大臣是違先帝遺詔而委生嫌釁不可不問其罪	Thiên Hựu, Cầm Hổ phục tấu viết: "Ư Đài khuyên bệ hà bất khả uỷ nhiệm đại thần, thị vi tiên đế di chiếu nhi uỷ sinh hiềm hấn bất khả bất vấn kì tội.
右弼黎聞靈執其疏來奏帝乃可之	Hữu bật Lê Văn Linh chấp kì sớ lai tấu, đế nãi khả chi.
遂流於󰱑遠州	Toại lưu Ư Đài viễn châu.
二十四日追尊生母爲恭慈國太母	Nhị thập tứ nhật, truy tôn sinh mẫu vi Cung Từ quốc thái mẫu.
初太祖不立正	Sơ Thái Tổ bất lập chính..
室惟郡王母鄭宸妃𭁈犯惠妃等數人而已	thất, duy quận vương mẫu Trịnh Thần phi dữ Phạm Huệ phi đẳng sổ nhân nhi dĩ.
國母亦先帝側室於草昧時已先薨	Quốc mẫu diệc tiên đế trắc thất ư thảo muội thời dĩ tiên hoăng.
及是帝追念尊為國太母	Cập thị đế truy niệm tôn vi Quốc thái mẫu.
舊臣主在籃京帝命元舅右𤤻黎連及中書是郎陳舜俞奉新神主及金󰀋至廟行禮	Cựu thần chủ tại Lam Kinh, đế mệnh nguyên cữu hữu ban Lê Liên cập Trung thư thị lang Trần Thuấn Du phụng tân thần chủ cập kim sách chí miếu hành lễ.
大司徒黎察起清潭昭度等寺成守九十餘間	Đại tư đồ Lê Sát khởi Thanh Đàm, Chiêu Độ đẳng tự thành, thủ cửu thập dư gian.
秋七月十一日㫖揮各道衛軍将校及路縣鎮󰀋社官等凡治道以清刑爲本	Thu, thất nguyệt, thập nhất nhật, chỉ huy các đạo vệ quân tướng hiệu cập lộ, huyện, trấn, sách, xã quan đẳng: "Phàm trị đạo dĩ thanh hình vi bản.
朕見軍人皆越次奏告運勾訟人防廢民事勞擾朝廷莫此為	Trẫm kiến quân nhân giai việt thứ tấu cáo, vận câu tụng nhân phòng, phế dân sự lao, nhiễu triều đình, mạc thử vi..
甚	thậm.
自今凡軍民有小訟即先就本社社官諭辨社官不能方就縣縣不能以次至路至府府不能方就本道本道又不能然後奏聞	Tự kim phàm quân dân hữu tiểu tụng tức tiên tựu bản xã xã quan dụ biện, xã quan bất năng phương tựu huyện, huyện bất năng dĩ thứ chí lộ, chí phủ, phủ bất năng phương tựu bản đạo, bản đạo hựu bất năng nhiên hậu tấu văn.
其訟田土亦如之	Kì tụng điền thổ diệc như chi.
若評諭官宜用法公平不可受賂偏曲使有所寃	Nhược bình dụ quan nghi dụng pháp công bình, bất khả thụ lộ, thiên khúc sử hữu sở oan.
其大訟方許直奏	Kì đại tụng phương hứa trực tấu".
十五日設盂蘭會赦輕罪囚五十人賜僧人通經錢二百二十緡	Thập ngũ nhật, thiết Vu Lan hội, xá khinh tội tù ngũ thập nhân, tứ tăng nhân thông kinh tiền nhị bách nhị thập mân.
八月賜國子監生及路縣生徒著冠服并與國子監敎授及路縣教職著高山巾	Bát nguyệt, tứ Quốc tử giám sinh, cập lộ huyện sinh đồ trước quan phục tịnh dữ Quốc tử giám giáo thụ cập lộ huyện giáo chức trước cao sơn cân.
初教授監書庫皆太古巾至是令戴之	Sơ giáo thụ, giám thư khố giai thái cổ cân, chí thị lệnh đái chi.
八日令右僕	Bát nhật, lệnh hữu bộc..
射黎汝覧徃籃京立太母廟	xạ Lê Nhữ Lãm vãng Lam Kinh lập Thái Mẫu miếu.
九日斬道者程堂	Cửu nhật trảm đạo giả Trình Đường.
政事院同參議阮欣等奏言曰堂白日偷窺律不至死殺之不可	Chính sự viện đồng tham nghị Nguyễn Hân đẳng tấu ngôn viết: "Đường bạch nhật thâu khuy, luật bất chí tử, sát chi bất khả.
不聽	Bất thính.
太廟厨兒阮注以抑買市貨杖八十刺項徒象坊兵	Thái miếu trù nhi Nguyễn Chú dĩ ức mãi thị hoá, trượng bát thập, thích hạng, đồ tượng phường binh.
時諸室厨人多托宫中以賤直抑買市肆人民病之	Thời chư thất trù nhân, đa thác cung trung, dĩ tiện trực ức mãi thị, tứ nhân dân bệnh chi.
阮天祐捕奏乃加注罪仍令徇眾三日	Nguyễn Thiên hựu bổ tấu, nãi gia Chú tội, nhưng lệnh tuẫn chúng tam nhật.
定取士科	Định thủ sĩ khoa.
詔曰得人之效取士為先取士為方科目為首	Chiếu viết: Đắc nhân chi hiệu, thủ sĩ vi tiên, thủ sĩ vi phương, khoa mục vi thủ.
我國家自經兵燹英才秋葉俊士晨星太祖立國之初首興學校祠孔子以太牢其崇重至矣	Ngã quốc gia tự kinh binh tiển, anh tài thu diệp, tuấn sĩ thần tinh, Thái Tổ lập quốc chi sơ, thủ hưng học hiệu, từ Khổng Tử dĩ Thái lao kì sùng trọng chí hĩ.
而	Nhị.
草昧云始科目未置	thảo muội vân thuỷ khoa mục vị trí.
朕纂承先志思得賢才之士以副側席之求	Trẫm toản thừa tiên chí, tư đắc hiền tài chi sĩ, dĩ phó trắc tịch chi cầu.
今定為試塲科目期以紹平五年各道鄕試六年會試都督堂	Kim định vi thí trường khoa mục, kì dĩ Thiệu Bình ngũ niên các đạo hương thí, lục niên hội thí đô đốc đường.
自此以後三年一大此率以爲常中󰱇者並賜進士出身	Tự thử dĩ hậu tam niên nhất đại, thử suất dĩ vi thường, trúng tuyển giả tịnh tứ tiến sĩ xuất thân.
所有試塲科目具列于後第一塲經義一道四書各一道並限三百字以上	Sở hữu thí trường khoa mục cụ liệt vu hậu: Đệ nhất trường: kinh nghĩa nhất đạo, tứ thư các nhất đạo, tịnh hạn tam bách tự dĩ thượng.
第二塲制詔表	Đệ nhị trường: chế, chiếu, biểu.
第三塲詩賦	Đệ tam trường: thi, phú.
第四塲策一道一千字以上	Đệ tứ trường: sách nhất đạo nhất thiên tự dĩ thượng.
試吏員考暗寫	Thí lại viên khảo ám tả.
一等補國子監二等補生徒及文属	Nhất đẳng bổ Quốc tử giám, nhị đẳng bổ sinh đồ cập văn thuộc.
十八日南道司馬黎列軍還	Thập bát nhật, Nam đạo tư mã Lê Liệt quân hoàn.
布提聞中國無事先	Bố Đề văn Trung Quốc vô sự tiên..
已引退	dĩ dẫn thoái.
列到化州欲還會化州蛮道成為道論所擊來求援	Liệt đáo Hoá Châu, dục hoàn hội Hoá châu Man Đạo Thành vị Đạo Luận sở kích, lai cầu viện.
列乃引兵助擊之得人口千餘象數十隻以㱕	Liệt nãi dẫn binh trợ kích chi, đắc nhân khẩu thiên dư, tượng sổ thập chích dĩ quy.
十九日命管轄黎伴使哀牢	Thập cửu nhật, mệnh quản hạt Lê Bạn sứ Ai Lao.
哀牢茹昆孤為叛臣杻在所功力不能制遣使來乞援	Ai Lao nhà Côn Cô vị phản thần Nữu Tại sở công, lực bất năng chế, khiển sứ lai khất viện.
帝命伴先徃諭觧之	Đế mệnh Bạn tiên vãng dụ, giải chi.
旨揮五道行遣及各鎮總管宣慰等其路鎮縣各官功績付本道行遣考覈各鎮將校付本道總管宣慰考覈其省院局官即少保右弼考覈左右𤤻内殿各官即押衙右𤤻内密院考覈	Chỉ huy ngũ đạo hành khiển cập các trấn Tổng quản, Tuyên uý đẳng: Kì lộ, trấn, huyện các quan công tích phó bản đạo hành khiển khảo hạch; các trấn tướng hiệu, phó bản đạo, Tổng quản, Tuyên uý khảo hạch; kì sảnh viện cục quan tức Thiếu bảo Hữu bật khảo hạch; tả hữu ban nội điện các quan tức Áp nha hữu ban, Nội mật viện khảo hạch.
各分爲三等務要明當	Các phân vi tam đẳng, vụ yếu minh đương..
不得偏私顛倒	bất đắc thiên tư điên đảo.
二十八日以海西道參知軍民簿籍阮汝撰為北道同知軍民簿籍	Nhị thập bát nhật, dĩ Hải Tây đạo tham tri quân dân bạ tịch Nguyễn Nhữ Soạn vi Bắc đạo đồng tri quân dân bạ tịch.
旨揮守皇城禁中諸門將校軍人女人内人等今後或有各殿宮人及大臣總管行遣并女官等入朝到禁門即守門預先傳奏候勅旨始得入	Chỉ huy thủ hoàng thành, cấm trung chư môn tướng hiệu, quân nhân, nữ nhân, nội nhân đẳng: Kim hậu hoặc hữu các điện cung nhân cập đại thần, tổng quản, hành khiển tịnh nữ quan đẳng nhập triều, đáo cấm môn tức thủ môn dự tiên truyền tấu, hầu sắc chỉ thuỷ đắc nhập.
女人無品爵並不得入	Nữ nhân vô phẩm tước tịnh bất đắc nhập.
各殿内人女官奴婢無故不得徃來别殿	Các điện nội nhân, nữ quan, nô tì vô cố bất đắc vãng lai biệt điện.
若守門不謹容情私放濫入及𢃄将鉄噐等件自一針以上到禁中不先傳奏即論罪依律	Nhược thủ môn bất cẩn dung tình tư, phóng lạm nhập cập đái tương thiết khí đẳng kiện tự nhất châm dĩ thượng đáo cấm trung bất tiên truyền tấu tức luận tội y luật.
九月四日	Cửu nguyệt tứ nhật.
頒紹平新錢六百餘貫賜文武百官	Ban Thiệu Bình tân tiền lục bách dư quán tứ văn võ bách quan.
以御史裴擒虎為諒山鎮安府使以右藤縣轉運潘天爵為侍御史	Dĩ Ngự sử Bùi Cầm Hổ vi Lạng Sơn trấn an phủ sứ Dĩ Hữu Đằng huyện chuyển vận Phan Thiên Tước vi Thị ngự sử.
㫖揮各鎮縣社村󰀋庄等有赴京行役者軍即将校民即路縣官轉送	Chỉ huy các trấn huyện xã thôn sách trang đẳng: Hữu phó kinh hành dịch giả, quân tức tướng hiệu, dân tức lộ huyện quan chuyển tống.
其官私功即取本縣文信	Kì quan tư công tức thủ bản huyện văn tín.
若在京軍人及大臣勢家之人或取本具差某事即總管總知本衙本家給信字	Nhược tại kinh quân nhân cập đại thần thế gia chi nhân hoặc thủ bản cụ sai, mỗ sự tức Tổng quản, Tổng tri, bản nha bản gia cấp tín tự.
軍民販賣亦仰路縣官給文引	Quân dân phán mại diệc ngưỡng lộ, huyện quan cấp văn dẫn.
各鎮巡檢及水六各處守把務要盤檢明白無給文引即截還	Các trấn tuần kiểm cập thuỷ lục các xứ thủ bả vụ yếu bàn kiểm minh bạch vô cấp văn dẫn tức tiệt hoàn.
時各鎮人多詐爲行役誘人奴	Thời các trấn nhân đa trá vi hành dịch dụ nhân nô..
婢故有是令	tì cố hữu thị lệnh.
司空黎銀同鄕人范鬢因𭁈銀奴爭田私出不遜語	Tư Không Lê Ngân đồng hương nhân Phạm Tấn, nhân dữ Ngân nô tranh điền tư, xuất bất tốn ngữ.
太祖起兵時鬢從官軍襲檜柵	Thái Tổ khởi binh thời, Tấn tòng quan quân tập Cối sách.
軍至柵下鬢迯入柵降賊	Quân chí sách hạ, Tấn tốn nhập sách hàng tặc.
賊覺乃設僃軍不克襲而還	Tặc giác, nãi thiết bị, quân bất khắc tập nhi hoàn.
至是銀𭛁鬢前事使刑官追鞫准奏斬之	Chí thị, Ngân phát Tấn tiền sự, sử hình quan truy cúc, chuẩn tấu trảm chi.
大司徒察曰今吾軰有權勢而讐其鄕人何求不得	Đại tư đồ Sát viết: "Kim ngô bối hữu quyền thế nhi thù kì hương nhân hà cầu bất đắc?.
後或吾勢盡𡸈可使吾子孫當其怨禍耶	Hậu hoặc ngô thế tận, khởi khả sử ngô tử tôn đương kì oán hoạ da?.
銀厲聲曰彼子孫猶能興怨而吾子孫獨不能報乎	Ngân lệ thanh viết: "Bỉ tử tôn do năng hưng oán nhi ngô tử tôn độc bất năng báo hồ?".
久之鬢乃得减死流遠州	Cửu chi, Tấn nãi đắc giảm tử lưu viễn châu.
以𰎟山縣轉運使梁天福爲殿中侍御史北江下路	Dĩ Giáp Sơn huyện chuyển vận sứ Lương Thiên Phúc vi điện trung thị ngự sử Bắc Giang hạ lộ..
教授阮昭甫為監察御史昭甫上疏有可采故也	giáo thụ Nguyễn Chiêu Phủ vi Giám sát ngự sử Chiêu Phủ thượng sớ hữu khả thái cố dã.
御史付中丞阮天祐以言事忤旨免官奏乞致職而去	Ngự sử phó trung thừa Nguyễn Thiên Hựu dĩ ngôn sự ngỗ chỉ miễn quan tấu khất trí chức nhi khứ.
十六日奏告天地及太廟以鑄順天承運之寶代天行化之寶勑命之寶制誥之寶御前之寶御前小寶共六顆	Thập lục nhật, tấu cáo thiên địa cập thái miếu dĩ chú Thuận thiên thừa vận chi bảo, Đại thiên hành hoá chi bảo, Sắc mệnh chi bảo, Chế cáo chi bảo, Ngự tiền chi bảo, Ngự tiền tiểu bảo, cộng lục khoả.
