大越史記本紀全書卷之一	Đại Việt Sử Ký Bản Kỷ Toàn Thư Quyển Chi Nhất.
桓於是即皇帝位改元天福元年降封帝仍爲衛王	Hoàn ư thị tức Hoàng đế vị, cải nguyên Thiên Phúc nguyên niên, giáng phong đế nhưng vi Vệ Vương.
追封帝父爲長興王母鄧氏爲皇太后	Truy phong đế phụ vi Trường Hưng Vương, mẫu Đặng thị vi Hoàng Thái hậu.
八月宋帝下詔出師來侵遣盧多遜賫書告曰夫中夏之於蠻貊猶人身之有四肢也運動伸縮随諸人心故曰心爲主之謂也	Bát nguyệt, Tống đế hạ chiếu xuất sư lai xâm, khiển Lư Đa Tốn tê thư cáo viết: "Phù Trung Hạ chi ư Man Mạch, do nhân thân chi hữu tứ chi dã, vận động thân súc tuỳ chư nhân tâm, cố viết tâm vi chủ chi vị dã.
苟一	Cẩu nhất..
手一足之間血脉有滯筋骸不寕則藥餌以	thủ nhất túc chi gian huyết mạch hữu trệ, cân hài bất ninh, tắc dược nhĩ dĩ.
攻之未效則又鍼砭以達之非不知藥餌之苦口而鍼砭之破膚也	Công chi vị hiệu, tắc hựu châm biếm dĩ đạt chi, phi bất tri dược nhĩ chi khổ khẩu, nhi châm biếm chi phá phu dã.
盖以所損者寡而所益者多	Cái dĩ sở tổn giả quả, nhi sở ích giả đa.
君天下者其猶是歟故我太祖皇帝受襌于周改國曰宋清明文物一變及古居帝王之位示蠻貊之病	Quân thiên hạ giả kì do thị dư? Cố ngã Thái Tổ hoàng đế thụ thiền vu Chu, cải quốc viết Tống, thanh minh văn vật, nhất biến cập cổ, cư đế vương chi vị thị Man Mạch chi bệnh.
故一二之歲藥荆蜀餌湘潭三四之歲鍼廣越貶吳楚筋骸血脉油然少康	Cố nhất nhị chi tuế, dược Kinh, Thục, nhĩ Tương, Đàm; tam tứ chi tuế, châm Quảng, Việt, biếm Ngô Sở, cân hài huyết mạch du nhiên thiếu khang.
爲王者神機睿智疇能至此乎洎我自守丕基躬覧庶政以爲汾并者心腹之疾苟心腹未治四肢安能治乎於是練仁義之	Vi vương giả thần cơ duệ trí trù năng chí thử hồ? Cập ngã tự thủ phi cơ, cung lãm thứ chính, dĩ vi Phần, Tinh giả tâm phúc chi tật, cẩu tâm phúc vị trị, tứ chi an năng trị hồ? Ư thị, luyện nhân nghĩa chi..
藥餌脩道德之鍼砭大療于汾并一進而愈九州四海既康且寕	dược nhĩ, tu đạo đức chi châm biếm, đại liệu vu Phần, Tinh nhất tiến nhi dũ, cửu châu tứ hải ký khang thả ninh.
顧爾交州遠在天末實五服之外	Cố nhĩ Giao Châu, viễn tại thiên mạt, thực ngũ phục chi ngoại.
而四肢之餘譬之于身一指耳雖一指有患聖人得無念乎是用開尔昏愚被我聲教爾其從乎况昔在成周白雉來献降及炎漢銅柱立標至于李唐常爲内地	Nhi tứ chi chi dư, thí chi vu thân nhất chỉ nhĩ, tuy nhất chỉ hữu hoạn, thánh nhân đắc vô niệm hồ? Thị dụng khai nhĩ hôn ngu, bị ngã thanh giáo, nhĩ kì tòng hồ? Huống tích tại Thành Chu, bạch trĩ lai hiến, hàng cập Viêm Hán, đồng trụ lập tiêu; chí vu Lí Đường, thường vi nội địa.
唐末多難未遑區置	Đường mạt đa nạn, vị hoàng khu trí.
今兹聖朝仁覆萬國太平之業盖亦盛矣	Kim tư thánh triều, nhân phú vạn quốc thái bình chi nghiệp, cái diệc thịnh hĩ.
分封之禮將以脩矣俟爾至止康乎帝躬	Phân phong chi Lễ, tương dĩ tu hĩ, sĩ nhĩ chí chỉ khang hồ đế cung.
爾無四隅爲我小恙俾我爲截幡斷節之計用屠尔國悔其焉追矧	Nhĩ vô tứ ngung vi ngã tiểu dạng, tỉ ngã vi tiệt phan đoạn tiết chi kế, dụng đồ nhĩ quốc, hối kì yên truy thấn.
夫尔水生珠	Phù nhĩ thuỷ sinh châu..
我沉于泉尔山孕金我損于叢非利尔之寳也	ngã trầm vu tuyền; nhĩ sơn dựng kim, ngã tổn vu tùng, phi lợi nhĩ chi bảo dã.
尔民沉躍野也人我有車馬尔民鼻飲交廣山蛮今猶有之我有酒食用革尔俗也尔民斷髮我有衣冠尔民鳥言我有詩書將教尔禮也	Nhĩ dân tròm dược [Dã dã], nhân ngã hữu xa mã; nhĩ dân tị ẩm [Giao Quảng sơn man kim do hữu chi], ngã hữu tửu thực, dụng cách nhĩ tục dã; nhĩ dân đoạn phátm ngã hữu y quan; nhĩ dân điểu ngôn, ngã hữu Thi Thư tương giáo nhĩ lễ dã.
煌煌炎州煙蒸霧𤌄我𢒎堯雲洒爲甘雨	Hoàng hoàng viêm châu, yên chưng vụ chử, ngã bưu Nghiêu vân sái vi cam vũ.
湯湯海瘴雲燒石鎔我張舜絃扇爲熏風	Thang thang hải chướng, vân thiêu thạch dung, ngã trương Thuấn huyền phiến vi huân phong.
尔天星辰人謂不識我回紫微使尔拱極	Nhĩ thiên tinh, thần nhân vị bất thức, ngã hồi tử vi sử nhĩ củng cực.
尔地魑魅人惧其恠我鑄大𣇄使之不害	Nhĩ địa si mị, nhân cụ kì quái, ngã chú đại đỉnh, sử chi bất hại.
出尔島夷觀明堂辟雍乎脱尔卉服慕華衮山龍乎尔其來乎無速厥辜	Xuất nhĩ đảo di, quan Minh đường, Bích Ung hồ? Thoát nhĩ tạp phục, mộ hoa cổn sơn long hồ? Nhĩ kì lai hồ, vô tốc quyết cô.
方將整其車徒戒其鉦皷	Phương tương chỉnh kì xa đồ, giới kì chinh cổ.
向化我	Hướng hoá ngã..
其赦逆命我其伐	kì xá, nghịch mệnh ngã kì phạt.
向背吉㐫在爾審之	Hướng bội cát hung, tại nhĩ thẩm chi".
舊史載此書於丁紀太平二年之下今按宜在此	[Cựu sử tải thử thư ư Đinh Kỷ, Thái Bình nhị niên chi hạ, kim án nghi tại thử.
宋王禹称所譔之文也又按文休於此之上提起改元稱帝四字則是年秋爲天福元年明矣	Tống Vương Vũ Xứng sở soạn chi văn dã. Hựu án Văn Hưu ư thử chi thượng, đề khởi "cải nguyên xưng đế" tứ tự, tắc thị niên thu vi Thiên Phúc nguyên niên minh hĩ.
又書中云我太祖受周襌我嗣守丕基則爲宋太宗之書明矣文休不應太誤而紀於先皇之世盖後人抄錄於殘編斷簡之餘妄意竄入𦤶誣文休之誤耳明年辛巳稱天福元年安知非由失此簡而妄改耶至於李太祖則即位在歲末故已明年改元與此不同	Hựu thư trung vân: "Ngã Thái tổ thụ Chu thiền, ngã tự thủ phỉ cơ", tắc vi Tống Thái Tông chi thư minh hĩ, Văn Hưu bất ứng Thái ngộ nhi kỷ ư Tiên Hoàng chi thế, cái hậu nhân sao lục ư tàn biên đoạn giản chi dư, vọng ý thoán nhập trí, vu Văn Hưu chi ngộ nhĩ. Minh niên Tân Tị xưng Thiên Phúc nguyên niên, an tri phi do thất thử giản nhi vọng cải da? Chí ư Lí Thái Tổ tắc tức vị tại tuế mạt, cố dĩ minh niên cải nguyên, dữ thử bất đồng].
冬十月帝將發兵先遣牙校江巨望王紹祚賫書于宋詐爲璿書求襲父位乞賜真命欲以緩宋師	Đông, thập nguyệt, Đế tương phát binh, tiên khiển Nha hiệu Giang Cự Vọng, Vương Thiệu Tộ tê thư vu Tống, trá vi Toàn thư, cầu tập phụ vị, khất tứ chân mệnh, dục dĩ hoãn Tống sư.
其辞曰臣父某兄某俱荷國恩忝分閫寄謹保風界改有背違汗馬之勞未施朝露之悲俄至臣堂構相󰱧衰裳未除管内軍民將吏藩裔耆耋等共詣苫塊之中俾權軍旅之事臣懇辞數四請逼愈堅將	[Kì từ viết: "Thần phụ mỗ, huynh mỗ, câu hà quốc ân, thiểm phận khổn kí, cẩn bảo phong giới, cải hữu
待奏陳又慮󰏲緩山野獷惡之俗洞壑狡猾之民倘不徇其情恐或生異變	đãi tấu trần, hựu lự kê hoãn: sơn dã quánh ác chi tục, động hoác giảo hoạt chi dân, thảng bất tuẫn kì tình, khủng hoặc sinh dị biến.
臣謹已攝節度行軍司馬權領州軍事	Thần cẩn dĩ nhiếp Tiết độ hành quân tư mã, quyền lĩnh châu quân sự.
伏望假以真命令備列藩慰微臣盡忠之心舉聖代延賞之典	Phục vọng giả dĩ chân mệnh lệnh, bị liệt phiên uý vi thần, tận trung chi tâm, cử thánh đại diên thưởng chi điển"].
時宋方責帝以稱帝改元又有取我越之意遣張宗權復書曰丁氏傳襲三世朕欲以璿爲統帥卿副之	Thời, Tống phương trách đế dĩ xưng đế cải nguyên, hựu hữu thủ ngã Việt chi ý, khiển Trương Tông Quyền phục thư viết: "Đinh thị truyền tập tam thế, trẫm dục dĩ Toàn vi thống soái, khanh phó chi.
若璿將才無取猶有童心宜遣子母及親属來歸	Nhược Toàn tương tài vô thủ, do hữu đồng tâm, nghi khiển tử mẫu cập thân thuộc lai quy.
俟其入朝必示優禮却授卿以節施	Sĩ kì nhập triều, tất thị ưu lễ, khước thụ khanh dĩ tiết thí.
凣茲二途卿宜審處其一	Phàm tư nhị đồ, khanh nghi thẩm xử kì nhất".
帝皆不聽	Đế giai bất thính.
右丁朝二帝起戊辰終庚辰凣十三年	Hữu Đinh triều nhị đế, khởi Mậu Thìn, chung Canh Thìn, phàm thập tam niên.
黎紀	Lê KỶ.
大行皇帝	Đại Hành hoàng đế.
姓黎諱桓愛州人也仕丁爲十道將軍宋師來侵領兵出拒遂代丁而有天長春殿	Tính Lê, huý Hoàn, Ái Châu nhân dã, sĩ Đinh vi Thập đạo tướng quân; Tống sư lai xâm, lĩnh binh xuất cự, toại đại Đinh nhi hữu thiên Trường Xuân điện.
下在位二十四年壽六十五崩于帝乘内姦而取國却外寇以安民海内晏然北南無事	hạ; tại vị nhị thập tứ niên, thọ lục thập ngũ, băng vu Đế thừa nội gian nhi thủ quốc, khước ngoại khấu dĩ an dân, hải nội yến nhiên, bắc nam vô sự.
惜其見儲不早使後嗣内訌以至於亡其於夫婦之倫多有慚德	Tích kì kiến trữ bất tảo, sử hậu tự nội hồng, dĩ chí ư vong; kì ư phu phụ chi luân, đa hữu tàm đức].
先是帝父覔母鄧氏初懷娠夢腹中生蓮花俄而結實取之分與人而己獨不食及覺莫察其故	Tiên thị đế phụ Mịch, mẫu Đặng thị, sơ hoài thần mộng phúc trung sinh liên hoa, nga nhi kết thực, thủ chi phân dữ nhân, nhi kỷ độc bất thực, cập giác mạc sát kì cố.
以晋天福六年辛丑秋七月十五日誕生	Dĩ Tấn Thiên Phúc lục niên, Tân Sửu, thu, thất nguyệt, thập ngũ nhật, đản sinh.
鄧氏見丰好異常示人曰此兒長成恐吾不及享其祿	Đặng thị kiến phong hảo dị thường, thị nhân viết: "Thử nhi trưởng thành, khủng ngô bất cập hưởng kì lộc".
數年母亡父亦	Sổ niên mẫu vong, phụ diệc..
尋卒惸音煢獨也然一身孤寒萬状	tầm tốt, quỳnh [Âm quỳnh độc dã] nhiên nhất thân, cô hàn vạn trạng.
本州有黎觀察者見而異之曰此兒資格非庸人比	Bản châu hữu Lê quan sát giả, kiến nhi dị chi viết: "Thử nhi tư cách, phi dung nhân tỉ".
復以同姓之故養以爲子朝夕撫育不啻己出常遇	Phục dĩ đồng tính chi cố, dưỡng dĩ vi tử, triêu tịch phủ dục, bất thí kỷ xuất thường ngộ.
冬寒帝覆舂擣米噐也	Đông hàn đế phúc thung [Đảo mễ khí dã].
而卧	nhi ngoạ.
是夜祥光盈室觀察潜往觀之乃黃龍擁其上也由是愈噐之	Thị dạ, tường quang doanh thất, quan sát tiềm vãng quan chi, nãi hoàng long ủng kì thượng dã, do thị dũ khí chi.
及長往事南越王璉倜儻有大志	Cập trưởng vãng sự Nam Việt Vương Liễn, thích thảng hữu đại chí.
先皇嘉其智勇度必能濟事遂以士卒二千人與之累迁至十道將軍殿前都指揮𣐳	Tiên Hoàng gia kì trí dũng, độ tất năng tế sự, toại dĩ sĩ tốt nhị thiên nhân dữ chi, luỹ thiên chí Thập đạo tướng quân điện tiền đô chỉ huy sứ.
至是代丁氏爲帝乃都華閭	Chí thị đại Đinh thị vi đế, nãi đô Hoa Lư.
辛巳二年宋太平𦥷國六年按歴代年紀諸本皆以是年爲天福元年今改之	Tân Tị, nhị niên, [Tống Thái Bình Hưng Quốc lục niên, án lịch đại niên kỷ chư bản giai dĩ thị niên vi Thiên Phúc nguyên niên, kim cải chi].
春三月侯仁保孫全興至諒山陳欽祚至西結劉澄至白虅江	Xuân, tam nguyệt, Hầu Nhân Bảo, Tôn Toàn Hưng chí Lạng Sơn, Trần Khâm Tộ chí Tây Kết, Lưu Trừng chí Bạch Đằng giang.
帝自將禦之使士卒植樁捍江宋兵退復至支陵江	Đế tự tướng ngự chi, sử sĩ tốt thực thung hãn giang Tống binh thoái phục chí Chi Lăng giang.
帝令士卒詐降以誘仁寳因擒斬之	Đế lệnh sĩ tốt trá hàng dĩ dụ Nhân Bảo, nhân cầm trảm chi.
欽祚等聞水軍敗引兵還	Khâm Tộ đẳng văn thuỷ quân bại, dẫn binh hoàn.
帝出諸將擊之欽祚軍大敗死者太半屍填原野擒其將郭君辨趙奉勳歸華閭	Đế xuất chư tướng kích chi, Khâm Tộ quân đại bại, tử giả thái bán, thi điền nguyên dã, cầm kì tướng Quách Quân Biện, Triệu Phụng Huân quy Hoa Lư.
由是海内大定群臣上尊號曰明乾應運神武昇平至仁廣孝皇帝	Do thị hải nội đại định, quần thần thượng tôn hiệu viết Minh Càn Ứng Vận Thần Vũ Thăng Bình Chí Nhân Quảng Hiếu Hoàng Đế.
黎文休曰黎大行之誅丁佃執阮匐擒君辨虜	Lê Văn Hưu viết: Lê Đại Hành chi tru Đinh Điền, chấp Nguyễn Bặc, cầm Quân Biện, lỗ..
奉勳如驅小兒如役奴󰒜曾不數年而疆土大定其戰勝攻取之功雖漢唐無以過也	Phụng Huân như khu tiểu nhi, như dịch nô lệ, tằng bất sổ niên nhi cương thổ đại định, kì chiến thắng công thủ chi công, tuy Hán Đường vô dĩ quá dã.
或問大行與李太祖孰優曰自其削平内奸攘挫外寇以状我越以威宋人而言則李太祖不如大行之功爲難	Hoặc vấn: Đại Hành dữ Lí Thái Tổ, thục ưu? viết: Tự kì tước bình nội gian, nhường toả ngoại khấu, dĩ trạng Ngã Việt, dĩ uy Tống nhân nhi ngôn, tắc Lí Thái Tổ bất như Đại Hành chi công vi nan.
自其素著恩威人樂推戴延長國祚垂裕後昆而言則大行不如李太祖之慮爲長	Tự kì tố trứ ân uy, nhân lạc suy đái, diên trường quốc tộ, thuỳ dụ hậu côn nhi ngôn, tắc Đại Hành bất như Lí Thái Tổ chi lự vi trường.
然則太祖優歟曰優則不知但以李德󰗯黎爲厚爾當從李	Nhiên tắc Thái Tổ ưu dư? viết: Ưu tắc bất tri, đãn dĩ Lí đức tạc Lê vi hậu nhĩ, đương tòng Lí.
史臣吳士連曰三綱之道萬世常經不可一日	Sử thần Ngô Sĩ Liên viết: Tam cương chi đạo, vạn thế thường kinh, bất khả nhất nhật..
紊	vặn.
大行居攝之時衛王雖幼其君也乃稱副王將有不利	Đại Hành cư nhiếp chi thời, Vệ Vương tuy ấu kì quân dã, nãi xưng Phó vương, tương hữu bất lợi.
人臣無將將而必誅	Nhân thần vô tương, tương nhi tất tru.
春秋之法人人皆得舉行之	Xuân Thu chi pháp, nhân nhân giai đắc cử hành chi.
阮匐丁佃安得恝然忍視之哉於是退而起兵聲罪𦤶討圖存社稷忠義之臣也	Nguyễn Bặc, Đinh Điền án đắc kiết nhiên nhẫn thị chi tai? Ư thị thoái nhi khởi binh thanh tội, trí thảo đồ tồn xã tắc, trung nghĩa chi thần dã.
事不濟而死則謂死節之神	Sự bất tế nhi tử, tắc vị tử tiết chi thần.
文休之論乃儕諸亂賊使人倫之道不明於後世將啓篡奪之萌凣有權力者争慕效之綱常掃地矣不得不辨	Văn Hưu chi luận, nãi sài chư loạn tặc, sử nhân luân chi đạo bất minh ư hậu thế, tương khải soán đoạt chi manh, phàm hữu quyền lực giả, tranh mộ hiệu chi, cương thường tảo địa hĩ, bất đắc bất biện.
宋江南轉運使許仲宣以仁寳敗死事聞	Tống Giang Nam chuyển vận sứ Hứa Trọng Tuyên dĩ Nhân Bảo bại tử sự văn.
宋帝詔𤤻師遣使讓劉澄賈湜王僎等	Tống đế chiếu ban sư, khiển sứ nhượng Lưu Trừng, Giả Đề, Vương Soạn đẳng.
澄病死󰱓戮于	Trừng bệnh tử, Soạn lục vu..
邕州孫全興亦坐棄市	Ung Châu, Tôn Toàn Hưng diệc toạ khí thị.
壬午三年宋太平國七年	Nhâm Ngọ, tam niên, [Tống Thái Bình Quốc thất niên].
興立丁朝皇太后楊氏爲大勝明皇后	Hưng Lập Đinh triều Hoàng thái hậu Dương thị vi Đại Thắng Minh Hoàng Hậu.
后先皇配衛王璿母也	Hậu Tiên Hoàng phối, Vệ Vương Toàn mẫu dã.
帝得國時納之宫中至是立爲后與奉乾至理皇后順聖明道皇后鄭國皇后范皇后並爲五皇后	Đế đắc quốc thời, nạp chi cung trung, chí thị lập vi hậu, dữ Phụng Càn Chí Lí Hoàng Hậu, Thuận Thánh Minh Đạo Hoàng Hậu, Trịnh Quốc Hoàng Hậu, Phạm Hoàng Hậu tịnh vi ngũ hoàng hậu.
厥後民俗立祠塑先皇大行二帝像及楊后像同坐至國初猶存安撫使黎叔顯始革去	[Quyết hậu, dân tục lập từ, tố Tiên Hoàng, Đại Hành nhị đế tượng, cập Dương hậu tượng đồng toạ, chí quốc sơ do tồn. An phủ Sứ Lê Thúc Hiển thuỷ cách khử].
史臣吳士連曰夫婦人倫之首王化之端	Sử thần ngô Sĩ Liên viết: Phu phụ nhân luân chi thủ, vương hoá chi đoan.
易下經首󰦭恒示取女必以正也	Dịch Hạ kinh thủ, Hàm, Hằng thị thủ nữ tất dĩ chính dã.
大行通滛君后至於偃然立以爲后羞惡之心忘矣	Đại Hành thông dâm quân hậu, chí ư yển nhiên lập dĩ vi hậu, tu ố chi tâm vong hĩ.
